题目,时期,体裁,知识点,题型,选项A,选项B,选项C,选项D,正确选项,参考答案,解析,难度,作答次数,正确次数,做错次数,正确率,是否错题,最近作答日期
阮籍《咏怀诗》的主要艺术特点是,魏晋南北朝,诗歌,3-050 魏晋南北朝 正始文学,单选题,情感直露表达豪情壮志,寓意深远多寄托身世之感,完全模仿民歌体式,主要描写山水景物,B,寓意深远多寄托身世之感,阮籍咏怀诗通过象征与隐喻表达政治感慨A项不符C项错误D项并非主要内容,中等,,,,0,No,
“建安七子”这一文学群体主要活跃于,魏晋南北朝,诗歌,3-010 魏晋南北朝 建安文学,单选题,西汉文景时期,东汉末年建安年间,东晋太元年间,南朝齐梁时期,B,东汉末年建安年间,建安七子活跃于东汉末年建安年间他们在曹氏集团周围进行文学创作体现建安文学的时代特色A项C项D项时间均不符合,简单,,,,0,No,
下列作家中属于建安七子的一位是,魏晋南北朝,诗歌,3-010 魏晋南北朝 建安文学,单选题,王粲,谢灵运,阮籍,鲍照,A,王粲,王粲是建安七子中成就较高的一位其七哀诗表现社会动乱与人民苦难B项为南朝诗人C项为正始文学代表D项为南朝文学家,简单,,,,0,No,
建安风骨在文学史上的重要意义主要体现在,魏晋南北朝,诗歌,3-020 魏晋南北朝 建安风骨,单选题,开创山水诗传统,体现刚健有力的时代精神,确立骈文体制,推动戏曲形成,B,体现刚健有力的时代精神,建安风骨表现出刚健有力慷慨悲凉的时代精神成为中国诗歌发展重要传统A项属于南朝文学C项D项均无关,中等,,,,0,No,
曹操诗歌《观沧海》的主要内容是,魏晋南北朝,诗歌,3-030 魏晋南北朝 曹操诗歌,单选题,描写田园隐居生活,描绘壮阔自然景象并寄托统一天下的理想,表现宫廷宴乐生活,叙述历史故事,B,描绘壮阔自然景象并寄托统一天下的理想,观沧海通过描写大海壮阔景象表达统一天下的政治抱负A项C项D项均不符合诗歌内容,简单,,,,0,No,
曹操诗歌总体艺术风格可以概括为,魏晋南北朝,诗歌,3-030 魏晋南北朝 曹操诗歌,单选题,清新淡远,豪放雄健,绮丽柔靡,幽深隐晦,B,豪放雄健,曹操诗歌气势雄健情感豪迈体现建安文学的刚健风格A项接近陶渊明C项属于六朝宫体诗D项更接近正始文学,中等,,,,0,No,
曹植诗歌《白马篇》所表现的主要主题是,魏晋南北朝,诗歌,3-040 魏晋南北朝 曹植诗歌,单选题,田园隐居生活,建功立业的英雄理想,宫廷爱情生活,宗教修行,B,建功立业的英雄理想,白马篇通过描写青年英雄形象表达建功立业的理想A项C项D项均不符合作品主题,简单,,,,0,No,
曹植诗歌在艺术表现上的突出特点之一是,魏晋南北朝,诗歌,3-040 魏晋南北朝 曹植诗歌,单选题,语言质朴平淡,辞采华美情感浓烈,结构极其简短,完全模仿民歌,B,辞采华美情感浓烈,曹植诗歌辞采华美情感充沛在建安诗人中艺术成就尤高A项更接近陶渊明风格C项不符合D项错误,中等,,,,0,No,
正始文学形成的重要背景之一是,魏晋南北朝,诗歌,3-050 魏晋南北朝 正始文学,单选题,政治高压与思想压抑环境,经济繁荣与文化开放,佛教文学兴盛,科举制度发展,A,政治高压与思想压抑环境,正始时期政治环境紧张文人常以隐晦方式表达思想情感B项C项D项均不符合历史背景,中等,,,,0,No,
下列作家中常与阮籍并称为正始文学代表人物的是,魏晋南北朝,诗歌,3-050 魏晋南北朝 正始文学,单选题,嵇康,曹操,谢灵运,鲍照,A,嵇康,嵇康与阮籍同为正始时期重要作家其思想与文学风格具有代表性B项为建安诗人C项D项为南朝诗人,简单,,,,0,No,
竹林七贤在思想上的共同特点是,魏晋南北朝,散文,3-060 魏晋南北朝 竹林七贤,单选题,积极参与政治活动,崇尚自然追求个性自由,提倡宫廷礼仪制度,主张严格儒家伦理,B,崇尚自然追求个性自由,竹林七贤多崇尚老庄思想强调个性自由反对礼法束缚A项C项D项均不符合其思想特点,中等,,,,0,No,
下列人物中属于竹林七贤的是,魏晋南北朝,散文,3-060 魏晋南北朝 竹林七贤,单选题,嵇康,曹植,陶渊明,谢灵运,A,嵇康,嵇康是竹林七贤之一以思想独立与人格精神著称B项为建安诗人C项为东晋诗人D项为南朝诗人,简单,,,,0,No,
陶渊明诗歌最突出的主题是,魏晋南北朝,诗歌,3-070 魏晋南北朝 陶渊明诗歌,单选题,宫廷生活,田园隐逸生活,战争题材,宗教修行,B,田园隐逸生活,陶渊明诗歌多描写田园生活表现归隐自然的人生态度A项C项D项均不符合其诗歌主题,简单,,,,0,No,
陶渊明诗歌在艺术风格上的突出特点是,魏晋南北朝,诗歌,3-070 魏晋南北朝 陶渊明诗歌,单选题,辞采华丽,语言自然质朴,结构宏大铺陈,句式整齐骈偶,B,语言自然质朴,陶渊明诗歌语言平淡自然风格质朴对后世田园诗影响深远A项C项D项均不符合其艺术特点,中等,,,,0,No,
南北朝民歌在艺术风格上的一个重要特点是,魏晋南北朝,诗歌,3-080 魏晋南北朝 南北朝民歌,单选题,语言华丽辞采绚烂,语言质朴情感真挚,多写宫廷礼仪,严格遵循格律诗形式,B,语言质朴情感真挚,南北朝民歌多源于民间语言质朴感情真挚具有鲜明生活气息A项C项D项均不符合其特点,简单,,,,0,No,
北朝民歌《木兰诗》的主要内容是,魏晋南北朝,诗歌,3-080 魏晋南北朝 南北朝民歌,单选题,描写宫廷爱情故事,叙述花木兰替父从军的传奇经历,表现田园生活情趣,描写宗教修行故事,B,叙述花木兰替父从军的传奇经历,木兰诗讲述花木兰代父从军的故事表现勇敢与孝义精神A项C项D项均不符合作品内容,简单,,,,0,No,
下列作品中被认为是南朝民歌代表作的一项是,魏晋南北朝,诗歌,3-080 魏晋南北朝 南北朝民歌,单选题,西洲曲,木兰诗,七哀诗,归园田居,A,西洲曲,西洲曲是南朝乐府民歌代表作内容多表现爱情生活风格细腻婉转B项为北朝民歌C项为建安诗歌D项为陶渊明诗歌,中等,,,,0,No,
南朝民歌在内容上的主要特点是,魏晋南北朝,诗歌,3-080 魏晋南北朝 南北朝民歌,单选题,多表现战争生活,多表现男女爱情生活,多写宫廷政治生活,多写隐逸田园生活,B,多表现男女爱情生活,南朝民歌多描写男女爱情情感细腻语言清新A项属于北朝民歌特点C项D项均不符合,简单,,,,0,No,
北朝民歌在艺术风格上的主要特点是,魏晋南北朝,诗歌,3-080 魏晋南北朝 南北朝民歌,单选题,风格刚健豪放,风格绮丽柔美,语言华丽典雅,结构整齐严密,A,风格刚健豪放,北朝民歌多表现战争生活和英雄气概风格刚健豪放与南朝民歌形成对比B项为南朝民歌特点C项D项不符合民歌特点,中等,,,,0,No,
志怪小说在魏晋南北朝时期兴起的重要原因之一是,魏晋南北朝,小说,3-090 魏晋南北朝 志怪小说,单选题,社会动荡与宗教迷信思想盛行,科举制度发展,城市商业繁荣,戏曲艺术成熟,A,社会动荡与宗教迷信思想盛行,魏晋南北朝时期社会动荡佛教道教传播鬼神观念盛行推动志怪小说发展其余选项均不符合历史背景,中等,,,,0,No,
下列作品中属于志怪小说代表作的一项是,魏晋南北朝,小说,3-090 魏晋南北朝 志怪小说,单选题,搜神记,世说新语,水经注,文心雕龙,A,搜神记,搜神记由干宝编撰是志怪小说的重要代表作B项为志人小说C项为地理著作D项为文学理论著作,简单,,,,0,No,
志怪小说在内容上的主要特点是,魏晋南北朝,小说,3-090 魏晋南北朝 志怪小说,单选题,记述鬼神怪异故事,记录士人言行轶事,描写宫廷生活,叙述历史战争,A,记述鬼神怪异故事,志怪小说主要记录神仙鬼怪奇异事件体现当时社会宗教信仰其余选项均不符合其内容特点,简单,,,,0,No,
志人小说在内容上的主要特点是,魏晋南北朝,小说,3-100 魏晋南北朝 志人小说,单选题,记述神仙鬼怪故事,记录人物言行轶事,描写战争历史事件,表现宗教思想,B,记录人物言行轶事,志人小说主要记录士人言谈轶事与人物风貌A项属于志怪小说C项D项均不准确,简单,,,,0,No,
下列作品中属于志人小说代表作的一项是,魏晋南北朝,小说,3-100 魏晋南北朝 志人小说,单选题,世说新语,搜神记,神异记,幽明录,A,世说新语,世说新语由刘义庆编撰记录魏晋名士言行是志人小说代表作其余三项属于志怪小说作品,简单,,,,0,No,
《世说新语》在文学史上的价值主要在于,魏晋南北朝,小说,3-100 魏晋南北朝 志人小说,单选题,反映魏晋名士风度与社会风尚,记述鬼神怪异故事,建立小说章回体形式,描写宫廷生活,A,反映魏晋名士风度与社会风尚,世说新语通过人物言谈轶事展现魏晋名士风度具有重要文学与文化价值其余选项均不符合该书特点,中等,,,,0,No,
《文心雕龙》的作者是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,刘勰,钟嵘,曹丕,陆机,A,刘勰,文心雕龙为南朝刘勰所著是中国古代重要文学理论著作B项为诗品作者C项为典论论文作者D项为文赋作者,简单,,,,0,No,
《诗品》的作者是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,刘勰,钟嵘,曹植,谢灵运,B,钟嵘,诗品为南朝钟嵘所著是中国文学批评史上第一部系统的诗歌评论著作A项为文心雕龙作者C项D项均非作者,简单,,,,0,No,
《诗品》在文学史上的重要贡献是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,系统评定历代诗人并分为三品,提出神思理论,确立文气说,建立赋体理论,A,系统评定历代诗人并分为三品,诗品将诗人分为上中下三品系统评价诗歌传统B项属于文心雕龙理论C项为曹丕观点D项无关,中等,,,,0,No,
《文心雕龙》在文学理论上的突出特点是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,系统总结文学理论与创作经验,主要讨论诗歌格律问题,只研究小说艺术,专论戏曲创作,A,系统总结文学理论与创作经验,文心雕龙系统总结中国古代文学理论与创作经验是文学批评史上的重要著作其余选项均不符合该书内容,中等,,,,0,No,
刘勰在《文心雕龙》中提出的重要文学观念之一是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,文以气为主,文以明道,文以载道,文质彬彬,B,文以明道,刘勰认为文学具有表达道理和思想的功能强调文以明道A项为曹丕文学观点C项为后世儒家文学观D项属于儒家思想表述,困难,,,,0,No,
魏晋南北朝文学理论发展的一个重要特点是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,文学批评逐渐系统化理论化,完全依附经学,主要关注政治教化,只讨论历史散文,A,文学批评逐渐系统化理论化,魏晋南北朝时期出现文心雕龙诗品等著作标志文学理论逐渐系统化其余选项均不符合文学史事实,中等,,,,0,No,
下列关于建安文学整体特征的表述最准确的一项是,魏晋南北朝,诗歌,3-010 魏晋南北朝 建安文学,单选题,语言绮丽内容多写宫廷生活,作品多表现时代动荡中的政治理想与人生感慨,主要描写山水景物,完全模仿楚辞体式,B,作品多表现时代动荡中的政治理想与人生感慨,建安文学产生于东汉末年动荡时代诗人多表达建功立业理想和人生感慨形成慷慨悲凉的风格A项偏向六朝宫体诗C项属于山水诗传统D项不符合事实,中等,,,,0,No,
下列人物中不属于建安七子的一项是,魏晋南北朝,诗歌,3-010 魏晋南北朝 建安文学,单选题,王粲,刘桢,孔融,阮籍,D,阮籍,建安七子包括孔融陈琳王粲徐干阮瑀应玚刘桢阮籍属于正始文学代表人物并非建安七子,简单,,,,0,No,
建安文学在诗歌体式上的一个重要贡献是,魏晋南北朝,诗歌,3-020 魏晋南北朝 建安风骨,单选题,确立七言律诗格律,推动五言诗的发展成熟,创造词体文学,建立戏曲体制,B,推动五言诗的发展成熟,建安诗人广泛运用五言诗使其逐渐成熟为后世诗歌发展奠定基础其余选项均为后世文学现象,中等,,,,0,No,
曹操《短歌行》中“青青子衿悠悠我心”的诗句主要表达的是,魏晋南北朝,诗歌,3-030 魏晋南北朝 曹操诗歌,单选题,对自然景色的赞美,对贤才的渴望,对田园生活的向往,对爱情的描写,B,对贤才的渴望,短歌行借用诗经语句表达求贤若渴的政治抱负其余选项均不符合诗歌主题,简单,,,,0,No,
曹操诗歌在文学史上的重要意义之一是,魏晋南北朝,诗歌,3-030 魏晋南北朝 曹操诗歌,单选题,开创山水诗传统,继承并发展乐府诗传统,确立词体文学,推动小说发展,B,继承并发展乐府诗传统,曹操常借乐府旧题创作诗歌发展了乐府诗传统其余选项均不符合其文学贡献,中等,,,,0,No,
曹植诗歌《洛神赋》的文学体裁属于,魏晋南北朝,辞赋,3-040 魏晋南北朝 曹植诗歌,单选题,诗歌,辞赋,小说,散文,B,辞赋,洛神赋为曹植著名辞赋作品以华美辞采描写洛神形象其余选项均不正确,简单,,,,0,No,
曹植在文学史上被称为“建安之杰”的主要原因是,魏晋南北朝,诗歌,3-040 魏晋南北朝 曹植诗歌,单选题,其诗歌艺术成就最高,政治地位最高,作品数量最多,其文学理论最系统,A,其诗歌艺术成就最高,曹植诗歌辞采华美情感充沛在建安诗人中艺术成就最高因此被誉为建安之杰其余选项不准确,中等,,,,0,No,
正始文学中最具代表性的诗歌体裁是,魏晋南北朝,诗歌,3-050 魏晋南北朝 正始文学,单选题,咏怀诗,田园诗,山水诗,宫体诗,A,咏怀诗,正始文学以阮籍咏怀诗最具代表性通过隐晦象征表达政治感慨其余选项属于其他文学类型,简单,,,,0,No,
阮籍《咏怀诗》的主要艺术特点之一是,魏晋南北朝,诗歌,3-050 魏晋南北朝 正始文学,单选题,表达直率情感外露,寓意隐晦象征性强,辞采华丽铺陈宏大,语言质朴自然,B,寓意隐晦象征性强,阮籍在政治高压环境下多以象征隐喻表达思想情感其余选项均不符合其诗歌特点,中等,,,,0,No,
竹林七贤活动的时代主要是,魏晋南北朝,散文,3-060 魏晋南北朝 竹林七贤,单选题,东汉末年,魏晋之际,南朝时期,唐代,B,魏晋之际,竹林七贤活跃于魏晋之际崇尚老庄思想追求个性自由其余选项时间不符,简单,,,,0,No,
竹林七贤思想文化上的主要倾向是,魏晋南北朝,散文,3-060 魏晋南北朝 竹林七贤,单选题,强调儒家礼法,崇尚道家思想追求个性自由,提倡佛教修行,重视宫廷政治,B,崇尚道家思想追求个性自由,竹林七贤多崇尚老庄思想追求精神自由反对礼法束缚其余选项均不符合其思想特点,中等,,,,0,No,
陶渊明诗歌在中国文学史上的重要意义是,魏晋南北朝,诗歌,3-070 魏晋南北朝 陶渊明诗歌,单选题,开创田园诗传统,确立骈文体制,推动宫体诗发展,建立词体文学,A,开创田园诗传统,陶渊明以田园诗著称开创田园诗传统对后世影响深远其余选项均不符合文学史事实,中等,,,,0,No,
陶渊明诗歌《归园田居》主要表达的思想感情是,魏晋南北朝,诗歌,3-070 魏晋南北朝 陶渊明诗歌,单选题,对功名富贵的追求,对田园生活的热爱,对宫廷生活的向往,对战争生活的赞美,B,对田园生活的热爱,归园田居表现诗人摆脱官场束缚回归自然田园的喜悦其余选项均不符合作品主题,简单,,,,0,No,
南北朝民歌在文学史上的重要价值之一是,魏晋南北朝,诗歌,3-080 魏晋南北朝 南北朝民歌,单选题,反映民间生活与情感,建立格律诗体系,推动骈文发展,促进小说成熟,A,反映民间生活与情感,南北朝民歌来源于民间真实反映社会生活与情感其余选项均不符合文学史事实,中等,,,,0,No,
北朝民歌在内容上常表现的主题是,魏晋南北朝,诗歌,3-080 魏晋南北朝 南北朝民歌,单选题,男女爱情生活,战争生活与英雄气概,宫廷宴乐生活,隐逸田园生活,B,战争生活与英雄气概,北朝民歌多表现战争生活和豪迈气概与南朝民歌爱情题材形成对比其余选项均不符合北朝民歌特点,简单,,,,0,No,
志怪小说在魏晋南北朝时期大量出现的思想文化背景之一是,魏晋南北朝,小说,3-090 魏晋南北朝 志怪小说,单选题,佛教道教传播与鬼神观念流行,科举制度发展,市民文化兴盛,戏曲艺术成熟,A,佛教道教传播与鬼神观念流行,魏晋南北朝时期佛教道教思想广泛传播社会上鬼神观念盛行推动了志怪小说的发展其余选项均不符合当时历史文化背景,中等,,,,0,No,
志怪小说在文学史上的主要内容特点是,魏晋南北朝,小说,3-090 魏晋南北朝 志怪小说,单选题,记述鬼神怪异故事,记录士人言谈轶事,叙述历史战争,描写宫廷爱情,A,记述鬼神怪异故事,志怪小说主要记录神仙鬼怪奇异事件反映当时社会宗教信仰B项属于志人小说C项D项均不符合其基本内容特点,简单,,,,0,No,
志怪小说在文学史上的重要意义之一是,魏晋南北朝,小说,3-090 魏晋南北朝 志怪小说,单选题,为后世小说发展提供素材与叙事经验,确立诗歌格律体系,推动骈文形成,建立词体文学,A,为后世小说发展提供素材与叙事经验,志怪小说在叙事方式和故事题材上为唐传奇及后世小说提供重要基础其余选项均不符合文学史事实,中等,,,,0,No,
志人小说的主要内容特点是,魏晋南北朝,小说,3-100 魏晋南北朝 志人小说,单选题,记述神仙鬼怪故事,记录人物言行轶事与士人风度,描写宫廷政治斗争,叙述战争历史,B,记录人物言行轶事与士人风度,志人小说主要记录士人言谈轶事反映魏晋名士风度A项属于志怪小说C项D项均不符合其基本特点,简单,,,,0,No,
《世说新语》在文学史上的重要价值主要在于,魏晋南北朝,小说,3-100 魏晋南北朝 志人小说,单选题,展现魏晋名士风度与社会风尚,记述鬼神怪异故事,建立章回小说结构,描写宫廷礼仪制度,A,展现魏晋名士风度与社会风尚,世说新语通过人物轶事展示魏晋名士精神风貌具有重要文学与文化价值其余选项均不符合该书特点,中等,,,,0,No,
《世说新语》的编撰者是,魏晋南北朝,小说,3-100 魏晋南北朝 志人小说,单选题,刘义庆,干宝,刘勰,钟嵘,A,刘义庆,世说新语为南朝刘义庆组织编撰是志人小说代表作B项为搜神记作者C项为文心雕龙作者D项为诗品作者,简单,,,,0,No,
《文心雕龙》在中国文学批评史上的地位主要体现在,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,系统总结古代文学理论与创作经验,建立诗歌格律理论,专门研究小说艺术,讨论戏曲创作,A,系统总结古代文学理论与创作经验,文心雕龙是中国古代文学理论体系最完整的重要著作之一其余选项均不符合该书内容,中等,,,,0,No,
《诗品》的主要内容特点是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,将历代诗人分为三品进行评价,系统讨论小说创作,建立戏曲理论体系,专门研究骈文,A,将历代诗人分为三品进行评价,诗品是中国第一部系统诗歌评论著作以三品评价诗人其余选项均不符合该书内容,中等,,,,0,No,
刘勰在《文心雕龙》中提出的重要文学理论之一是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,强调文学创作中的神思与情采,提出章回小说结构理论,建立词体文学理论,提出戏曲结构理论,A,强调文学创作中的神思与情采,文心雕龙提出神思情采等文学理论系统阐述文学创作规律其余选项均不属于该书理论内容,困难,,,,0,No,
魏晋南北朝文学理论发展的重要特点之一是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,文学批评逐渐系统化与理论化,完全依附经学传统,主要关注政治制度,只讨论历史散文,A,文学批评逐渐系统化与理论化,文心雕龙诗品等著作标志文学批评逐渐形成系统理论其余选项均不符合文学史事实,中等,,,,0,No,
魏晋南北朝时期文学理论繁荣的一个重要原因是,魏晋南北朝,文学理论,3-110 魏晋南北朝 文学理论（文心雕龙/诗品）,单选题,文学创作繁荣推动理论总结,科举制度发展,戏曲艺术成熟,小说章回体出现,A,文学创作繁荣推动理论总结,魏晋南北朝时期文学创作活跃促使文人对文学规律进行总结从而形成系统文学理论其余选项均不符合历史事实,中等,,,,0,No,
下列关于初唐诗歌发展特点的表述最准确的一项是,隋唐,诗歌,4-010 唐代 初唐诗歌,单选题,诗歌内容以山水隐逸为主,诗歌在齐梁宫体诗基础上逐渐走向革新,诗歌完全继承建安文学传统,诗歌以豪放风格为主,B,诗歌在齐梁宫体诗基础上逐渐走向革新,初唐诗歌在齐梁宫体诗基础上逐渐摆脱绮靡文风为盛唐诗歌繁荣奠定基础A项偏向山水诗C项错误D项属于盛唐风格,中等,,,,0,No,
下列诗人中属于初唐“四杰”的一位是,隋唐,诗歌,4-010 唐代 初唐诗歌,单选题,王勃,王维,高适,白居易,A,王勃,初唐四杰包括王勃杨炯卢照邻骆宾王他们推动初唐诗风革新其余选项均为其他时期诗人,简单,,,,0,No,
初唐诗歌在文学史上的重要意义主要在于,隋唐,诗歌,4-010 唐代 初唐诗歌,单选题,确立近体诗格律体系,推动诗歌摆脱宫体诗影响走向盛唐繁荣,建立词体文学,形成山水诗传统,B,推动诗歌摆脱宫体诗影响走向盛唐繁荣,初唐诗人逐渐摆脱齐梁宫体诗绮靡风气为盛唐诗歌高峰奠定基础其余选项不符合历史事实,中等,,,,0,No,
盛唐诗歌在文学史上的总体风格通常被概括为,隋唐,诗歌,4-020 唐代 盛唐诗歌,单选题,绮丽柔靡,气象雄浑开阔豪放,语言晦涩隐晦,专写宫廷生活,B,气象雄浑开阔豪放,盛唐诗歌整体气象宏阔风格雄浑体现盛唐时代精神A项偏向六朝宫体诗C项不符合盛唐特点D项范围过窄,中等,,,,0,No,
下列诗人中属于盛唐时期代表诗人的是,隋唐,诗歌,4-020 唐代 盛唐诗歌,单选题,李白,温庭筠,李商隐,杜牧,A,李白,李白是盛唐浪漫主义诗歌代表诗人其余选项多为晚唐诗人,简单,,,,0,No,
盛唐诗歌繁荣的重要社会原因之一是,隋唐,诗歌,4-020 唐代 盛唐诗歌,单选题,社会稳定与国力强盛,佛教文学衰落,市民文学兴起,戏曲艺术成熟,A,社会稳定与国力强盛,盛唐时期政治稳定经济繁荣为文学发展提供良好条件其余选项均不符合历史背景,中等,,,,0,No,
中唐诗歌在风格上的一个重要变化是,隋唐,诗歌,4-030 唐代 中唐诗歌,单选题,更加关注社会现实与人生问题,完全继承盛唐豪放风格,主要描写宫廷生活,诗歌体裁完全改变,A,更加关注社会现实与人生问题,中唐诗歌逐渐关注现实社会问题反映社会矛盾其余选项均不符合文学史实际,中等,,,,0,No,
下列诗人中属于中唐代表诗人的是,隋唐,诗歌,4-030 唐代 中唐诗歌,单选题,白居易,王维,高适,岑参,A,白居易,白居易是中唐现实主义诗歌代表诗人其余选项属于盛唐诗人,简单,,,,0,No,
晚唐诗歌在艺术风格上的突出特点是,隋唐,诗歌,4-040 唐代 晚唐诗歌,单选题,气势雄浑豪放,情调感伤风格精致细腻,语言质朴平淡,多写战争生活,B,情调感伤风格精致细腻,晚唐诗歌多表现衰世情绪风格精致细腻A项属于盛唐风格C项接近陶渊明风格D项不符合晚唐诗特点,中等,,,,0,No,
下列诗人中属于晚唐代表诗人的是,隋唐,诗歌,4-040 唐代 晚唐诗歌,单选题,李商隐,李白,杜甫,王维,A,李商隐,李商隐是晚唐著名诗人其诗歌风格绮丽含蓄其余选项均为盛唐诗人,简单,,,,0,No,
山水田园诗派的主要代表诗人之一是,隋唐,诗歌,4-050 唐代 山水田园诗派,单选题,王维,高适,岑参,杜牧,A,王维,王维是盛唐山水田园诗派代表诗人其余选项均不属于该诗派核心人物,简单,,,,0,No,
山水田园诗派在艺术上的主要特点是,隋唐,诗歌,4-050 唐代 山水田园诗派,单选题,描写边塞战争生活,描写自然山水与田园生活,表现宫廷生活,叙述历史事件,B,描写自然山水与田园生活,山水田园诗派以描写自然景物与田园生活为主其余选项均不符合其艺术特点,简单,,,,0,No,
边塞诗派的主要题材是,隋唐,诗歌,4-060 唐代 边塞诗派,单选题,宫廷生活,田园隐逸,边疆战争与军旅生活,爱情故事,C,边疆战争与军旅生活,边塞诗多描写边疆战争军旅生活表现豪迈气概其余选项均不符合其主题,简单,,,,0,No,
下列诗人中属于边塞诗派代表人物的是,隋唐,诗歌,4-060 唐代 边塞诗派,单选题,高适,王维,白居易,温庭筠,A,高适,高适是盛唐边塞诗派代表诗人之一其诗多描写边疆军旅生活其余选项均不属于该诗派核心人物,简单,,,,0,No,
李白诗歌在文学史上的主要艺术特点是,隋唐,诗歌,4-070 唐代 李白诗歌,单选题,现实主义描写社会矛盾,浪漫主义想象丰富气势豪放,语言质朴平淡,专写宫廷生活,B,浪漫主义想象丰富气势豪放,李白诗歌以浪漫主义精神著称想象奇特气势豪放其余选项均不符合其诗歌特点,中等,,,,0,No,
杜甫诗歌在文学史上的主要特点是,隋唐,诗歌,4-080 唐代 杜甫诗歌,单选题,浪漫主义风格,现实主义精神关注社会现实,宫体诗风格,完全模仿民歌,B,现实主义精神关注社会现实,杜甫诗歌反映社会现实被称为诗史其余选项均不符合其诗歌特点,中等,,,,0,No,
王维诗歌的重要艺术特点之一是,隋唐,诗歌,4-090 唐代 王维诗歌,单选题,气势豪迈雄浑,诗中有画画中有诗,辞采华丽绮丽,情感激烈奔放,B,诗中有画画中有诗,王维诗歌善于以画意入诗形成诗中有画的艺术境界其余选项不符合其主要艺术特点,中等,,,,0,No,
高适岑参诗歌在题材上的主要特点是,隋唐,诗歌,4-100 唐代 高适岑参诗歌,单选题,描写宫廷生活,描写边塞战争生活,表现田园隐逸,叙述历史故事,B,描写边塞战争生活,高适岑参是边塞诗代表诗人其诗多描写边疆战争生活其余选项均不符合其诗歌题材,简单,,,,0,No,
白居易诗歌创作的重要主张是,隋唐,诗歌,4-110 唐代 白居易诗歌,单选题,诗歌应当通俗易懂反映现实,诗歌只追求辞采华丽,诗歌完全模仿古诗形式,诗歌只写宫廷生活,A,诗歌应当通俗易懂反映现实,白居易主张文章合为时而著诗歌合为事而作强调现实性与通俗性其余选项均不符合其文学主张,中等,,,,0,No,
新乐府运动的主要倡导者之一是,隋唐,诗歌,4-120 唐代 新乐府运动,单选题,白居易,李白,杜牧,王维,A,白居易,白居易与元稹是新乐府运动的重要倡导者主张诗歌反映现实其余选项均不属于该运动核心人物,简单,,,,0,No,
韩愈在唐代文学史上的重要地位主要体现在,隋唐,散文,4-130 唐代 古文运动,单选题,推动古文运动复兴先秦两汉散文传统,建立诗歌格律理论,发展词体文学,推动传奇小说发展,A,推动古文运动复兴先秦两汉散文传统,韩愈是古文运动的主要倡导者主张恢复先秦两汉散文传统其余选项均不符合其文学贡献,中等,,,,0,No,
古文运动在文学史上的主要目标是,隋唐,散文,4-130 唐代 古文运动,单选题,恢复古代散文传统反对骈文风气,确立诗歌格律体系,建立戏曲文学传统,推动小说章回体发展,A,恢复古代散文传统反对骈文风气,古文运动以韩愈柳宗元为代表主张恢复先秦两汉散文传统反对六朝以来骈文风气其余选项均不符合历史事实,中等,,,,0,No,
下列作家中与韩愈共同倡导古文运动的是,隋唐,散文,4-130 唐代 古文运动,单选题,柳宗元,李白,杜牧,温庭筠,A,柳宗元,柳宗元与韩愈共同推动古文运动成为唐代散文发展的重要人物其余选项均不属于古文运动代表人物,简单,,,,0,No,
唐传奇在文学史上的主要体裁属于,隋唐,小说,4-140 唐代 唐传奇,单选题,文言小说,诗歌,戏曲,散文,A,文言小说,唐传奇是唐代成熟的文言小说体裁在中国小说发展史上具有重要地位其余选项均不正确,简单,,,,0,No,
唐传奇在中国小说发展史上的重要意义是,隋唐,小说,4-140 唐代 唐传奇,单选题,标志文言小说发展走向成熟,确立章回小说形式,建立戏曲文学体系,推动词体文学形成,A,标志文言小说发展走向成熟,唐传奇情节完整人物生动标志文言小说走向成熟其余选项均属于后世文学现象,中等,,,,0,No,
下列作品中属于唐传奇代表作的一项是,隋唐,小说,4-140 唐代 唐传奇,单选题,莺莺传,搜神记,世说新语,水经注,A,莺莺传,莺莺传为元稹所作是唐传奇著名作品其余选项分别为志怪小说志人小说和地理著作,简单,,,,0,No,
唐传奇在艺术上的重要特点之一是,隋唐,小说,4-140 唐代 唐传奇,单选题,情节完整人物形象鲜明,结构极其简单,完全记录历史事实,只描写宫廷生活,A,情节完整人物形象鲜明,唐传奇在情节结构与人物刻画方面较为成熟其余选项均不符合其艺术特点,中等,,,,0,No,
